Model,RMSE,MAE,R2
Linear Regression,173370.21690119227,87261.18144248008,0.7979622694463403
Random Forest,220447.46820448965,111007.93087383774,0.6733416776501365
Gradient Boosting,239498.0267288257,124602.91388464844,0.6144440802945248
